Pelvis_q_a,Pelvis_q_b,Pelvis_q_c,Pelvis_q_d,Right_Thigh_q_a,Right_Thigh_q_b,Right_Thigh_q_c,Right_Thigh_q_d,Right_Shank_q_a,Right_Shank_q_b,Right_Shank_q_c,Right_Shank_q_d,Right_Foot_q_a,Right_Foot_q_b,Right_Foot_q_c,Right_Foot_q_d,Left_Thigh_q_a,Left_Thigh_q_b,Left_Thigh_q_c,Left_Thigh_q_d,Left_Shank_q_a,Left_Shank_q_b,Left_Shank_q_c,Left_Shank_q_d,Left_Foot_q_a,Left_Foot_q_b,Left_Foot_q_c,Left_Foot_q_d
0.418274,-0.53683,-0.434561,-0.5899300000000001,-0.504734,0.079788,0.508675,-0.692912,0.632548,0.501836,-0.576734,0.12418599999999999,0.9526379999999999,-0.029051,0.257204,-0.159631,0.062143,-0.225384,-0.665049,-0.70926,0.311942,-0.612909,-0.44755200000000006,-0.571605,0.9436709999999999,-0.21183400000000002,0.254139,0.004922
0.418421,-0.536736,-0.43462799999999996,-0.589862,-0.504767,0.07977000000000001,0.5087010000000001,-0.692871,0.632566,0.501831,-0.576728,0.124142,0.9526190000000001,-0.029023,0.257209,-0.15974100000000002,0.062121,-0.22533000000000003,-0.665041,-0.709287,0.311919,-0.6128899999999999,-0.447593,-0.571605,0.9436700000000001,-0.21180500000000002,0.254168,0.004893
0.41856499999999996,-0.536643,-0.434691,-0.5897979999999999,-0.504811,0.07975,0.508727,-0.692823,0.632583,0.501831,-0.576716,0.124105,0.9526049999999999,-0.028993,0.257222,-0.15981099999999998,0.062117,-0.225291,-0.66504,-0.7093,0.311896,-0.612877,-0.447621,-0.5716100000000001,0.943657,-0.21177800000000002,0.25424,0.0048530000000000005
0.41868299999999997,-0.536557,-0.434775,-0.58973,-0.504841,0.079731,0.508745,-0.692789,0.632616,0.501837,-0.576683,0.12406600000000001,0.952593,-0.028988999999999997,0.257233,-0.159865,0.062110000000000005,-0.22524499999999997,-0.665045,-0.7093109999999999,0.311872,-0.612874,-0.447644,-0.571608,0.943658,-0.21173699999999998,0.25427,0.004836
0.41878699999999996,-0.536469,-0.43484700000000004,-0.589683,-0.504862,0.079706,0.50878,-0.692752,0.63264,0.501832,-0.5766640000000001,0.12405699999999999,0.9525790000000001,-0.028995999999999997,0.257252,-0.159917,0.062126999999999995,-0.22518600000000003,-0.665062,-0.709313,0.311845,-0.612853,-0.447709,-0.571595,0.943652,-0.211707,0.254319,0.00483
0.41890299999999997,-0.536411,-0.43493100000000007,-0.589592,-0.504876,0.079705,0.508796,-0.6927300000000001,0.632662,0.501831,-0.5766439999999999,0.12404100000000001,0.952574,-0.028981,0.257259,-0.159942,0.062117,-0.22514699999999999,-0.6650699999999999,-0.709318,0.31180399999999997,-0.6128520000000001,-0.44776000000000005,-0.5715779999999999,0.943643,-0.21168499999999998,0.254372,0.00481
0.418995,-0.536374,-0.43501300000000004,-0.5895,-0.504879,0.079696,0.508832,-0.692702,0.632674,0.501831,-0.576635,0.124021,0.952567,-0.028991000000000003,0.257267,-0.159965,0.062099,-0.225119,-0.6651020000000001,-0.709299,0.311768,-0.612857,-0.44781000000000004,-0.571554,0.943628,-0.211664,0.254443,0.004784
0.41909700000000005,-0.536323,-0.435097,-0.589411,-0.504905,0.079707,0.50885,-0.6926680000000001,0.632678,0.501826,-0.576639,0.124004,0.9525620000000001,-0.028992,0.257279,-0.159975,0.062083000000000006,-0.22509200000000001,-0.665111,-0.7093,0.311734,-0.612858,-0.447841,-0.571546,0.943622,-0.21162899999999998,0.254494,0.004768
0.419192,-0.536297,-0.435172,-0.589312,-0.5049140000000001,0.07972699999999999,0.508901,-0.692623,0.6326890000000001,0.501791,-0.576654,0.124017,0.952556,-0.029017,0.257268,-0.160025,0.062099,-0.225077,-0.665111,-0.709303,0.311725,-0.612855,-0.447883,-0.5715210000000001,0.943616,-0.211608,0.25453600000000004,0.004682
0.41931499999999994,-0.536276,-0.435221,-0.589208,-0.504931,0.079799,0.508939,-0.692574,0.632703,0.501764,-0.576661,0.124021,0.952543,-0.029013999999999998,0.257301,-0.160052,0.062051999999999996,-0.225059,-0.665126,-0.7093,0.31172,-0.612879,-0.44794799999999996,-0.571448,0.943607,-0.211589,0.25458600000000003,0.004619
